1, 'NP_112021.1', 'NC_002728', '13559809', 'N', 'None', '1', 532, 'Reference'
304, 'NP_619708.1', 'NC_003624', 'None', 'None', 'None', '1', 449, 'Reference'
305, 'NP_619709.1', 'NC_003624', 'None', 'None', 'None', '1', 262, 'Reference'
306, 'NP_619700.1', 'NC_003619', 'None', 'None', 'None', '1', 439, 'Reference'
307, 'NP_619701.1', 'NC_003619', 'None', 'None', 'None', '1', 276, 'Reference'
308, 'NP_056665.1', 'NC_002211', 'None', 'None', 'None', '1', 122, 'Reference'
309, 'NP_056666.1', 'NC_002211', 'None', 'None', 'None', '1', 281, 'Reference'
310, 'NP_056664.1', 'NC_002210', 'None', 'None', 'None', '1', 248, 'Reference'
311, 'NP_056662.1', 'NC_002209', 'None', 'None', 'None', '1', 100, 'Reference'
312, 'NP_056663.1', 'NC_002209', 'None', 'None', 'None', '1', 466, 'Reference'
313, 'NP_056661.1', 'NC_002208', 'None', 'None', 'None', '1', 560, 'Reference'
314, 'NP_056660.1', 'NC_002207', 'None', 'None', 'None', '1', 584, 'Reference'
315, 'NP_056659.1', 'NC_002206', 'None', 'Pa', 'None', '1', 726, 'Reference'
316, 'NP_056658.1', 'NC_002205', 'None', 'Pb2', 'None', '1', 770, 'Reference'
317, 'NP_056657.1', 'NC_002204', 'None', 'None', 'None', '1', 752, 'Reference'
318, 'NP_049362.1', 'NC_002052', 'None', 'None', 'None', '1', 2875, 'Reference'
319, 'NP_049360.1', 'NC_002051', 'None', 'None', 'None', '1', 464, 'Reference'
320, 'NP_049361.1', 'NC_002051', 'None', 'None', 'None', '1', 258, 'Reference'
321, 'NP_049359.1', 'NC_002050', 'None', 'Glycoprotein precursor, g1, g2', 'None', '1', 1135, 'Reference'
322, 'NP_049343.1', 'NC_002045', 'None', 'None', 'None', '1', 265, 'Reference'
323, 'NP_049344.1', 'NC_002045', 'None', 'None', 'None', '1', 245, 'Reference'
324, 'NP_049342.1', 'NC_002044', 'None', 'None', 'None', '1', 1206, 'Reference'
325, 'NP_049341.1', 'NC_002043', 'None', 'L rna segment', 'None', '1', 2149, 'Reference'
326, 'NP_040987.1', 'NC_002023', 'None', 'None', 'None', '1', 759, 'Reference'
327, 'NP_040986.1', 'NC_002022', 'None', 'None', 'None', '1', 716, 'Reference'
328, 'NP_040985.1', 'NC_002021', 'None', 'None', 'None', '1', 757, 'Reference'
329, 'NP_040983.1', 'NC_002020', 'None', 'None', 'None', '1', 121, 'Reference'
330, 'NP_040984.1', 'NC_002020', 'None', 'None', 'None', '1', 230, 'Reference'
331, 'NP_040982.1', 'NC_002019', 'None', 'None', 'None', '1', 498, 'Reference'
332, 'NP_040981.1', 'NC_002018', 'None', 'None', 'None', '1', 454, 'Reference'
333, 'NP_040978.1', 'NC_002016', 'None', 'None', 'None', '1', 252, 'Reference'
334, 'NP_040979.1', 'NC_002016', 'None', 'None', 'None', '1', 96, 'Reference'
335, 'NP_047213.1', 'NC_001927', 'None', 'None', 'None', '1', 233, 'Reference'
336, 'NP_047214.1', 'NC_001927', 'None', 'None', 'None', '1', 101, 'Reference'
337, 'NP_665864.1', 'NC_004074', 'None', 'N', 'None', '1', 519, 'Reference'
338, 'NP_665865.1', 'NC_004074', 'None', 'P/v', 'None', '1', 385, 'Reference'
339, 'NP_665866.1', 'NC_004074', 'None', 'P/v', 'None', '1', 228, 'Reference'
340, 'NP_665867.1', 'NC_004074', 'None', 'P/v', 'None', '1', 211, 'Reference'
341, 'NP_665868.1', 'NC_004074', 'None', 'M', 'None', '1', 373, 'Reference'
342, 'NP_665869.1', 'NC_004074', 'None', 'F', 'None', '1', 538, 'Reference'
343, 'NP_665870.1', 'NC_004074', 'None', 'Hn', 'None', '1', 593, 'Reference'
344, 'NP_665871.1', 'NC_004074', 'None', 'L', 'None', '1', 2271, 'Reference'
345, 'NP_041724.2', 'NC_001563', 'None', 'None', 'None', '1', 3430, 'Reference'
346, 'AAF85695.1', 'AF266290', 'None', 'M', 'None', '1', 335, 'Reference'
347, 'AAF85696.1', 'AF266290', 'None', 'F', 'None', '1', 553, 'Reference'
348, 'AAF85697.1', 'AF266290', 'None', 'H', 'None', '1', 617, 'Reference'
349, 'NP_040822.1', 'NC_001449', 'None', 'Ns', 'None', '1', 2493, 'Reference'
350, 'NP_040823', 'NC_001449', 'None', 'Ns', 'None', '1', 1879, 'Reference'
351, 'NP_040824', 'NC_001449', 'None', '26s mRNA', 'None', '1', 1255, 'Reference'
352, 'NP_041254', 'NC_001512', 'None', 'None', 'None', '1', 2514, 'Reference'
353, 'AAF85698.1', 'AF266290', 'None', 'L', 'None', '1', 2183, 'Reference'
354, 'NP_919030.1', 'NC_005093', 'None', 'N', 'None', '1', 392, 'Reference'
355, 'NP_919031.1', 'NC_005093', 'None', 'M1', 'None', '1', 227, 'Reference'
356, 'NP_919032.1', 'NC_005093', 'None', 'M2', 'None', '1', 193, 'Reference'
357, 'NP_919033.1', 'NC_005093', 'None', 'G', 'None', '1', 508, 'Reference'
358, 'NP_919034.1', 'NC_005093', 'None', 'Nv', 'None', '1', 111, 'Reference'
359, 'NP_919035.1', 'NC_005093', 'None', 'L', 'None', '1', 1986, 'Reference'
360, 'NP_945024.1', 'NC_005283', 'None', 'N', 'None', '1', 523, 'Reference'
361, 'NP_945025.1', 'NC_005283', 'None', 'P/v/c', 'None', '1', 506, 'Reference'
362, 'NP_945026.1', 'NC_005283', 'None', 'P/v/c', 'None', '1', 177, 'Reference'
363, 'NP_945027.1', 'NC_005283', 'None', 'M', 'None', '1', 335, 'Reference'
364, 'NP_945028.1', 'NC_005283', 'None', 'F', 'None', '1', 552, 'Reference'
365, 'NP_945029.1', 'NC_005283', 'None', 'H', 'None', '1', 604, 'Reference'
366, 'NP_945030.1', 'NC_005283', 'None', 'L', 'None', '1', 2183, 'Reference'
367, 'NP_958048.1', 'NC_005339', 'None', 'N', 'None', '1', 528, 'Reference'
368, 'NP_958049.1', 'NC_005339', 'None', 'P/v/c', 'None', '1', 542, 'Reference'
369, 'NP_958050.1', 'NC_005339', 'None', 'P/v/c', 'None', '1', 295, 'Reference'
370, 'NP_958051.1', 'NC_005339', 'None', 'P/v/c', 'None', '1', 152, 'Reference'
371, 'NP_958052.1', 'NC_005339', 'None', 'M', 'None', '1', 340, 'Reference'
372, 'NP_958053.1', 'NC_005339', 'None', 'F', 'None', '1', 552, 'Reference'
373, 'NP_958054.1', 'NC_005339', 'None', 'G', 'None', '1', 632, 'Reference'
374, 'NP_958055.1', 'NC_005339', 'None', 'L', 'None', '1', 2205, 'Reference'
375, 'NP_937947.1', 'NC_005147', 'None', 'None', 'None', '1', 7095, 'Reference'
376, 'NP_937948.1', 'NC_005147', 'None', 'Ns2a', 'None', '1', 278, 'Reference'
377, 'NP_937949.1', 'NC_005147', 'None', 'He', 'None', '1', 424, 'Reference'
378, 'NP_937950.1', 'NC_005147', 'None', 'S', 'None', '1', 1361, 'Reference'
379, 'NP_937951.1', 'NC_005147', 'None', 'Ns2', 'None', '1', 109, 'Reference'
380, 'NP_937952.1', 'NC_005147', 'None', 'Ns3', 'None', '1', 84, 'Reference'
381, 'NP_937953.1', 'NC_005147', 'None', 'M', 'None', '1', 230, 'Reference'
382, 'NP_937954.1', 'NC_005147', 'None', 'N', 'None', '1', 448, 'Reference'
383, 'NP_937955.1', 'NC_005147', 'None', 'N2', 'None', '1', 115, 'Reference'
384, 'NP_849175.1', 'NC_004718', 'None', 'sars7b', 'None', '1', 44, 'Reference'
385, 'NP_849176.1', 'NC_004718', 'None', 'sars8a', 'None', '1', 39, 'Reference'
386, 'NP_849177.1', 'NC_004718', 'None', 'sars8b', 'None', '1', 84, 'Reference'
387, 'NP_891560.1', 'NC_005064', 'None', 'None', 'None', '1', 3357, 'Reference'
388, 'AAF85691.1', 'AF266290', 'None', 'N', 'None', '1', 525, 'Reference'
389, 'NP_872627.1', 'NC_005039', 'None', 'None', 'None', '1', 3425, 'Reference'
390, 'AAF85692.1', 'AF266290', 'None', 'P', 'None', '1', 507, 'Reference'
392, 'AAF85693.2', 'AF266290', 'None', 'P', 'None', '1', 299, 'Reference'
393, 'AAF85694.1', 'AF266290', 'None', 'P', 'None', '1', 186, 'Reference'
394, 'NP_690580.1', 'NC_004161', 'None', 'Np', 'None', '1', 739, 'Reference'
395, 'NP_690581.1', 'NC_004161', 'None', 'Vp35', 'None', '1', 329, 'Reference'
396, 'NP_690582.1', 'NC_004161', 'None', 'Vp40', 'None', '1', 331, 'Reference'
397, 'NP_690583.1', 'NC_004161', 'None', 'Gp', 'None', '1', 677, 'Reference'
398, 'NP_690584.1', 'NC_004161', 'None', 'Sgp', 'None', '1', 367, 'Reference'
399, 'NP_690585.1', 'NC_004161', 'None', 'Vp30', 'None', '1', 287, 'Reference'
400, 'NP_690586.1', 'NC_004161', 'None', 'Vp24', 'None', '1', 251, 'Reference'
401, 'NP_690587.1', 'NC_004161', 'None', 'L', 'None', '1', 2212, 'Reference'
402, 'NP_671968.1', 'NC_004108', 'None', 'Pol', 'None', '1', 2263, 'Reference'
403, 'NP_671969.1', 'NC_004109', 'None', 'M', 'None', '1', 1441, 'Reference'
404, 'NP_671970.1', 'NC_004110', 'None', 'N', 'None', '1', 235, 'Reference'
405, 'NP_671971.1', 'NC_004110', 'None', 'Nss', 'None', '1', 92, 'Reference'
406, 'NP_690063.1', 'NC_004148', 'None', 'N', 'None', '1', 394, 'Reference'
407, 'NP_690064.1', 'NC_004148', 'None', 'P', 'None', '1', 294, 'Reference'
408, 'NP_690065.1', 'NC_004148', 'None', 'M', 'None', '1', 254, 'Reference'
409, 'NP_690066.1', 'NC_004148', 'None', 'F', 'None', '1', 539, 'Reference'
410, 'NP_690067.1', 'NC_004148', 'None', 'M2', 'None', '1', 187, 'Reference'
411, 'NP_690068.1', 'NC_004148', 'None', 'M2', 'None', '1', 71, 'Reference'
412, 'NP_690069.1', 'NC_004148', 'None', 'Sh', 'None', '1', 183, 'Reference'
413, 'NP_690070.1', 'NC_004148', 'None', 'G', 'None', '1', 236, 'Reference'
414, 'NP_690071.1', 'NC_004148', 'None', 'L', 'None', '1', 2005, 'Reference'
415, 'NP_690574.1', 'NC_004157', 'None', 'None', 'None', '1', 483, 'Reference'
416, 'NP_690575.1', 'NC_004158', 'None', 'None', 'None', '1', 1551, 'Reference'
417, 'NP_690576.1', 'NC_004159', 'None', 'None', 'None', '1', 4036, 'Reference'
418, 'NP_694845.1', 'NC_004291', 'None', 'None', 'None', '1', 2210, 'Reference'
419, 'NP_694846.1', 'NC_004291', 'None', 'None', 'None', '1', 95, 'Reference'
420, 'NP_694847.1', 'NC_004292', 'None', 'None', 'None', '1', 95, 'Reference'
421, 'NP_694848.1', 'NC_004292', 'None', 'None', 'None', '1', 2210, 'Reference'
422, 'NP_694849.1', 'NC_004293', 'None', 'None', 'None', '1', 495, 'Reference'
423, 'NP_694850.1', 'NC_004293', 'None', 'None', 'None', '1', 570, 'Reference'
424, 'NP_694851.1', 'NC_004294', 'None', 'None', 'None', '1', 498, 'Reference'
425, 'NP_694852.1', 'NC_004294', 'None', 'None', 'None', '1', 558, 'Reference'
426, 'NP_694869.1', 'NC_004296', 'None', 'None', 'None', '1', 569, 'Reference'
427, 'NP_694870.1', 'NC_004296', 'None', 'None', 'None', '1', 491, 'Reference'
428, 'NP_694871.1', 'NC_004297', 'None', 'None', 'None', '1', 99, 'Reference'
429, 'NP_694872.1', 'NC_004297', 'None', 'None', 'None', '1', 2218, 'Reference'
430, 'NP_775529.1', 'NC_004518', 'None', 'None', 'None', '1', 759, 'Reference'
431, 'NP_775530.1', 'NC_004519', 'None', 'None', 'None', '1', 757, 'Reference'
432, 'NP_775531.1', 'NC_004520', 'None', 'None', 'None', '1', 716, 'Reference'
433, 'NP_775532.1', 'NC_004521', 'None', 'None', 'None', '1', 565, 'Reference'
434, 'NP_775533.1', 'NC_004522', 'None', 'None', 'None', '1', 498, 'Reference'
435, 'NP_775534.1', 'NC_004523', 'None', 'None', 'None', '1', 454, 'Reference'
436, 'NP_775535.1', 'NC_004524', 'None', 'None', 'None', '1', 97, 'Reference'
437, 'NP_775536.1', 'NC_004524', 'None', 'None', 'None', '1', 252, 'Reference'
438, 'NP_775537.1', 'NC_004525', 'None', 'None', 'None', '1', 121, 'Reference'
439, 'NP_775538.1', 'NC_004525', 'None', 'None', 'None', '1', 230, 'Reference'
440, 'NP_828849.1', 'NC_004718', 'None', 'sars1', 'None', '1', 7073, 'Reference'
441, 'NP_828850.1', 'NC_004718', 'None', 'sars1', 'None', '1', 4382, 'Reference'
442, 'NP_828851.1', 'NC_004718', 'None', 'sars2', 'None', '1', 1255, 'Reference'
443, 'NP_828852.1', 'NC_004718', 'None', 'sars3a', 'None', '1', 274, 'Reference'
444, 'NP_828853.1', 'NC_004718', 'None', 'sars3b', 'None', '1', 154, 'Reference'
445, 'NP_828854.1', 'NC_004718', 'None', 'sars4', 'None', '1', 76, 'Reference'
446, 'NP_828855.1', 'NC_004718', 'None', 'sars5', 'None', '1', 221, 'Reference'
447, 'NP_828856.1', 'NC_004718', 'None', 'sars6', 'None', '1', 63, 'Reference'
448, 'NP_828857.1', 'NC_004718', 'None', 'sars7a', 'None', '1', 122, 'Reference'
449, 'NP_828858.1', 'NC_004718', 'None', 'sars9a', 'None', '1', 422, 'Reference'
450, 'NP_828859.1', 'NC_004718', 'None', 'sars9b', 'None', '1', 98, 'Reference'
451, 'NP_058422.1', 'NC_002306', 'None', 'None', 'None', '1', 6685, 'Reference'
452, 'NP_058423.1', 'NC_002306', 'None', 'None', 'None', '1', 4017, 'Reference'
453, 'NP_058424.1', 'NC_002306', 'None', 'S', 'None', '1', 1447, 'Reference'
454, 'NP_058425.1', 'NC_002306', 'None', 'Nsp 3a', 'None', '1', 71, 'Reference'
455, 'NP_058426.1', 'NC_002306', 'None', 'E', 'None', '1', 82, 'Reference'
456, 'NP_058427.2', 'NC_002306', 'None', 'M', 'None', '1', 262, 'Reference'
457, 'NP_058428.1', 'NC_002306', 'None', 'N', 'None', '1', 382, 'Reference'
458, 'NP_058429.1', 'NC_002306', 'None', 'Nsp 7', 'None', '1', 78, 'Reference'
459, 'NP_598309.1', 'NC_003436', 'None', 'None', 'None', '1', 6781, 'Reference'
460, 'NP_598310.1', 'NC_003436', 'None', 'None', 'None', '1', 1383, 'Reference'
461, 'NP_598311.1', 'NC_003436', 'None', 'None', 'None', '1', 224, 'Reference'
462, 'NP_598312.1', 'NC_003436', 'None', 'None', 'None', '1', 76, 'Reference'
463, 'NP_598313.1', 'NC_003436', 'None', 'None', 'None', '1', 226, 'Reference'
464, 'NP_598314.1', 'NC_003436', 'None', 'None', 'None', '1', 441, 'Reference'
465, 'NP_073549.1', 'NC_002645', 'None', 'None', 'None', '1', 6758, 'Reference'
466, 'NP_073550.1', 'NC_002645', 'None', 'None', 'None', '1', 4085, 'Reference'
467, 'NP_073551.1', 'NC_002645', 'None', 'S', 'None', '1', 1173, 'Reference'
468, 'NP_073552.1', 'NC_002645', 'None', '4a', 'None', '1', 133, 'Reference'
469, 'NP_073553.1', 'NC_002645', 'None', '4b', 'None', '1', 88, 'Reference'
470, 'NP_073554.1', 'NC_002645', 'None', 'E', 'None', '1', 77, 'Reference'
471, 'NP_073555.1', 'NC_002645', 'None', 'M', 'None', '1', 225, 'Reference'
472, 'NP_073556.1', 'NC_002645', 'None', 'N', 'None', '1', 389, 'Reference'
473, 'NP_066134.1', 'NC_001451', 'None', 'None', 'None', '1', 6629, 'Reference'
474, 'NP_040829.1', 'NC_001451', 'None', 'None', 'None', '1', 3951, 'Reference'
475, 'NP_040831.1', 'NC_001451', 'None', 'None', 'None', '1', 1162, 'Reference'
476, 'NP_040832.1', 'NC_001451', 'None', 'None', 'None', '1', 57, 'Reference'
477, 'NP_040833.1', 'NC_001451', 'None', 'None', 'None', '1', 64, 'Reference'
478, 'NP_040834.1', 'NC_001451', 'None', 'None', 'None', '1', 108, 'Reference'
479, 'NP_040835.1', 'NC_001451', 'None', 'None', 'None', '1', 225, 'Reference'
480, 'NP_040836.1', 'NC_001451', 'None', 'None', 'None', '1', 65, 'Reference'
481, 'NP_040837.1', 'NC_001451', 'None', 'None', 'None', '1', 82, 'Reference'
482, 'NP_040838.1', 'NC_001451', 'None', 'None', 'None', '1', 409, 'Reference'
483, 'NP_068668.2', 'NC_001846', 'None', 'None', 'None', '1', 7178, 'Reference'
484, 'NP_045298.1', 'NC_001846', 'None', 'None', 'None', '1', 4470, 'Reference'
485, 'NP_068669.1', 'NC_001846', 'None', 'None', 'None', '1', 273, 'Reference'
486, 'NP_068670.1', 'NC_001846', 'None', 'None', 'None', '1', 312, 'Reference'
487, 'NP_045300.1', 'NC_001846', 'None', 'None', 'None', '1', 1324, 'Reference'
488, 'NP_068671.1', 'NC_001846', 'None', 'None', 'None', '1', 161, 'Reference'
489, 'NP_068672.1', 'NC_001846', 'None', 'None', 'None', '1', 112, 'Reference'
490, 'NP_068673.1', 'NC_001846', 'None', 'None', 'None', '1', 83, 'Reference'
491, 'NP_045301.1', 'NC_001846', 'None', 'None', 'None', '1', 228, 'Reference'
492, 'NP_045302.1', 'NC_001846', 'None', 'None', 'None', '1', 454, 'Reference'
493, 'NP_068674.1', 'NC_001846', 'None', 'None', 'None', '1', 207, 'Reference'
494, 'NP_150073.2', 'NC_003045', 'None', 'Orf1ab', 'None', '1', 7094, 'Reference'
495, 'NP_150074.1', 'NC_003045', 'None', 'Orf1ab', 'None', '1', 4383, 'Reference'
496, 'NP_150075.1', 'NC_003045', 'None', 'Ns', 'None', '1', 278, 'Reference'
497, 'NP_150076.1', 'NC_003045', 'None', 'He', 'None', '1', 424, 'Reference'
498, 'NP_150077.1', 'NC_003045', 'None', 'S', 'None', '1', 1363, 'Reference'
499, 'NP_150078.1', 'NC_003045', 'None', 'None', 'None', '1', 29, 'Reference'
500, 'NP_150079.1', 'NC_003045', 'None', 'None', 'None', '1', 45, 'Reference'
501, 'NP_150080.1', 'NC_003045', 'None', 'None', 'None', '1', 109, 'Reference'
502, 'NP_150081.1', 'NC_003045', 'None', 'E', 'None', '1', 84, 'Reference'
503, 'NP_150082.1', 'NC_003045', 'None', 'M', 'None', '1', 230, 'Reference'
504, 'NP_150083.1', 'NC_003045', 'None', 'N', 'None', '1', 448, 'Reference'
505, 'NP_150084.1', 'NC_003045', 'None', 'N', 'None', '1', 207, 'Reference'
506, 'NP_671491.1', 'NC_004102', 'None', 'None', 'None', '1', 3011, 'Reference'
507, 'NP_803170.1', 'NC_004102', '28921567', 'None', 'None', '1', 161, 'Reference'
508, 'NP_051124.1', 'NC_000943', 'None', 'None', 'None', '1', 3434, 'Reference'
509, 'NP_059434.1', 'NC_001437', 'None', 'None', 'None', '1', 3432, 'Reference'
510, 'NP_040937.1', 'NC_001461', 'None', 'None', 'None', '1', 3988, 'Reference'
511, 'NP_041725.1', 'NC_001564', 'None', 'Cfa', 'None', '1', 3341, 'Reference'
512, 'NP_041726.1', 'NC_002031', 'None', 'None', 'None', '1', 3411, 'Reference'
513, 'NP_056931.1', 'NC_001655', 'None', 'None', 'None', '1', 2864, 'Reference'
514, 'NP_044731.1', 'NC_002032', 'None', 'None', 'None', '1', 3897, 'Reference'
515, 'NP_620062.1', 'NC_003679', 'None', 'None', 'None', '1', 3895, 'Reference'
516, 'NP_043135.1', 'NC_001672', 'None', 'None', 'None', '1', 3414, 'Reference'
517, 'NP_059446.1', 'NC_002348', 'None', 'None', 'None', '1', 2843, 'Reference'
518, 'NP_620099.1', 'NC_003687', 'None', 'None', 'None', '1', 3415, 'Reference'
519, 'NP_043570.1', 'NC_001710', 'None', 'None', 'None', '1', 2873, 'Reference'
520, 'NP_075354.1', 'NC_002657', 'None', 'None', 'None', '1', 3898, 'Reference'
521, 'NP_620108.1', 'NC_003690', 'None', 'None', 'None', '1', 3414, 'Reference'
522, 'NP_044677.1', 'NC_001809', 'None', 'M', 'None', '1', 3414, 'Reference'
523, 'NP_476520.1', 'NC_003218', 'None', 'None', 'None', '1', 3415, 'Reference'
524, 'NP_658908.1', 'NC_003996', 'None', 'None', 'None', '1', 3350, 'Reference'
525, 'NP_045010.1', 'NC_001837', 'None', 'None', 'None', '1', 2967, 'Reference'
526, 'NP_619758.1', 'NC_003635', 'None', 'None', 'None', '1', 3374, 'Reference'
527, 'NP_689391.1', 'NC_004119', 'None', 'None', 'None', '1', 3374, 'Reference'
528, 'NP_620044.1', 'NC_003675', 'None', 'None', 'None', '1', 3379, 'Reference'
529, 'NP_722551.1', 'NC_004355', 'None', 'None', 'None', '1', 3416, 'Reference'
530, 'NP_620045.1', 'NC_003676', 'None', 'None', 'None', '1', 3371, 'Reference'
531, 'NP_620051.1', 'NC_003677', 'None', 'None', 'None', '1', 3895, 'Reference'
532, 'NP_620053.1', 'NC_003678', 'None', 'None', 'None', '1', 3989, 'Reference'
533, 'NP_066135.1', 'NC_001961', 'None', 'None', 'None', '1', 3960, 'Reference'
535, 'NP_047408.1', 'NC_001961', 'None', 'None', 'None', '1', 256, 'Reference'
536, 'NP_047409.1', 'NC_001961', 'None', 'None', 'None', '1', 254, 'Reference'
537, 'NP_047410.1', 'NC_001961', 'None', 'None', 'None', '1', 178, 'Reference'
538, 'NP_047411.1', 'NC_001961', 'None', 'None', 'None', '1', 200, 'Reference'
539, 'NP_047412.1', 'NC_001961', 'None', 'None', 'None', '1', 174, 'Reference'
540, 'NP_047413.1', 'NC_001961', 'None', 'None', 'None', '1', 123, 'Reference'
541, 'NP_127506.1', 'NC_002532', 'None', 'None', 'None', '1', 3175, 'Reference'
543, 'NP_127508.1', 'NC_002532', 'None', 'None', 'None', '1', 67, 'Reference'
544, 'NP_065656.1', 'NC_002532', 'None', 'None', 'None', '1', 227, 'Reference'
545, 'NP_065657.1', 'NC_002532', 'None', 'None', 'None', '1', 163, 'Reference'
546, 'NP_065658.1', 'NC_002532', 'None', 'None', 'None', '1', 152, 'Reference'
547, 'NP_065659.1', 'NC_002532', 'None', 'None', 'None', '1', 255, 'Reference'
548, 'NP_065660.1', 'NC_002532', 'None', 'None', 'None', '1', 162, 'Reference'
549, 'NP_065661.1', 'NC_002532', 'None', 'None', 'None', '1', 110, 'Reference'
550, 'NP_065670', 'NC_002534', 'None', 'None', 'None', '1', 2226, 'Reference'
552, 'NP_065672.1', 'NC_002534', 'None', 'None', 'None', '1', 227, 'Reference'
553, 'NP_065673.1', 'NC_002534', 'None', 'None', 'None', '1', 191, 'Reference'
554, 'NP_065674.1', 'NC_002534', 'None', 'None', 'None', '1', 175, 'Reference'
555, 'NP_065675.1', 'NC_002534', 'None', 'None', 'None', '1', 214, 'Reference'
556, 'NP_065676.1', 'NC_002534', 'None', 'None', 'None', '1', 171, 'Reference'
557, 'NP_065677.1', 'NC_002534', 'None', 'None', 'None', '1', 115, 'Reference'
558, 'NP_742092.1', 'NC_003092', 'None', 'Orf1ab', 'None', '1', 3595, 'Reference'
560, 'NP_203544.1', 'NC_003092', 'None', 'Orf2', 'None', '1', 281, 'Reference'
561, 'NP_203545.1', 'NC_003092', 'None', 'Orf2a', 'None', '1', 204, 'Reference'
562, 'NP_203546.1', 'NC_003092', 'None', 'Orf3', 'None', '1', 205, 'Reference'
563, 'NP_203547.1', 'NC_003092', 'None', 'None', 'None', '1', 214, 'Reference'
564, 'NP_203548.1', 'NC_003092', 'None', 'None', 'None', '1', 179, 'Reference'
565, 'NP_203549.1', 'NC_003092', 'None', 'None', 'None', '1', 182, 'Reference'
566, 'NP_203550.1', 'NC_003092', 'None', 'Large glycoprotein gene', 'None', '1', 278, 'Reference'
567, 'NP_203551.1', 'NC_003092', 'None', 'P20', 'None', '1', 162, 'Reference'
568, 'NP_203552.1', 'NC_003092', 'None', 'P15', 'None', '1', 111, 'Reference'
569, 'NP_872273.1', 'NC_005036', 'None', 'Np', 'None', '1', 489, 'Reference'
570, 'NP_872274.1', 'NC_005036', 'None', 'P', 'None', '1', 395, 'Reference'
571, 'NP_872275.1', 'NC_005036', 'None', 'M', 'None', '1', 364, 'Reference'
572, 'NP_872276.1', 'NC_005036', 'None', 'F', 'None', '1', 553, 'Reference'
573, 'NP_872277.1', 'NC_005036', 'None', 'Hn', 'None', '1', 571, 'Reference'
574, 'NP_872278.1', 'NC_005036', 'None', 'L', 'None', '1', 2204, 'Reference'
575, 'NP_848527.1', 'NC_004779', 'None', 'None', 'None', '1', 2280, 'Reference'
576, 'NP_848528.1', 'NC_004779', 'None', 'None', 'None', '1', 211, 'Reference'
577, 'NP_848529.1', 'NC_004780', 'None', 'None', 'None', '1', 100, 'Reference'
578, 'NP_848530.1', 'NC_004780', 'None', 'None', 'None', '1', 317, 'Reference'
579, 'NP_848531.1', 'NC_004781', 'None', 'None', 'None', '1', 83, 'Reference'
580, 'NP_848532.1', 'NC_004781', 'None', 'None', 'None', '1', 483, 'Reference'
581, 'NP_848533.1', 'NC_004782', 'None', 'None', 'None', '1', 437, 'Reference'
582, 'NP_848672.1', 'NC_004783', 'None', 'None', 'None', '1', 248, 'Reference'
583, 'NP_848673.1', 'NC_004783', 'None', 'None', 'None', '1', 109, 'Reference'
584, 'NP_848674.1', 'NC_004784', 'None', 'None', 'None', '1', 752, 'Reference'
585, 'NP_848675.1', 'NC_004785', 'None', 'None', 'None', '1', 770, 'Reference'
586, 'NP_848676.1', 'NC_004786', 'None', 'None', 'None', '1', 726, 'Reference'
587, 'NP_848677.1', 'NC_004787', 'None', 'None', 'None', '1', 584, 'Reference'
588, 'NP_848678.1', 'NC_004788', 'None', 'None', 'None', '1', 560, 'Reference'
589, 'NP_848679.1', 'NC_004789', 'None', 'None', 'None', '1', 100, 'Reference'
590, 'NP_848680.1', 'NC_004789', 'None', 'None', 'None', '1', 466, 'Reference'
591, 'NP_848681.1', 'NC_004790', 'None', 'None', 'None', '1', 281, 'Reference'
592, 'NP_848682.1', 'NC_004791', 'None', 'None', 'None', '1', 752, 'Reference'
593, 'NP_848683.1', 'NC_004792', 'None', 'None', 'None', '1', 770, 'Reference'
594, 'NP_848684.1', 'NC_004793', 'None', 'None', 'None', '1', 726, 'Reference'
595, 'NP_848685.1', 'NC_004794', 'None', 'None', 'None', '1', 584, 'Reference'
596, 'NP_848686.1', 'NC_004795', 'None', 'None', 'None', '1', 560, 'Reference'
597, 'NP_848687.1', 'NC_004796', 'None', 'None', 'None', '1', 100, 'Reference'
598, 'NP_848688.1', 'NC_004796', 'None', 'None', 'None', '1', 466, 'Reference'
599, 'NP_848689.1', 'NC_004797', 'None', 'None', 'None', '1', 248, 'Reference'
600, 'NP_848690.1', 'NC_004797', 'None', 'None', 'None', '1', 109, 'Reference'
601, 'NP_848691.1', 'NC_004798', 'None', 'None', 'None', '1', 281, 'Reference'
602, 'NP_859032.1', 'NC_004905', 'None', 'Np', 'None', '1', 498, 'Reference'
603, 'NP_859033.1', 'NC_004906', 'None', 'Ns', 'None', '1', 121, 'Reference'
604, 'NP_859034.1', 'NC_004906', 'None', 'Ns', 'None', '1', 230, 'Reference'
605, 'NP_859035.1', 'NC_004907', 'None', 'M2', 'None', '1', 97, 'Reference'
606, 'NP_859036.1', 'NC_004907', 'None', 'M1', 'None', '1', 252, 'Reference'
607, 'NP_859037.1', 'NC_004908', 'None', 'Ha', 'None', '1', 560, 'Reference'
608, 'NP_859038.1', 'NC_004909', 'None', 'Na', 'None', '1', 467, 'Reference'
609, 'NP_859039.1', 'NC_004910', 'None', 'Pb2', 'None', '1', 759, 'Reference'
610, 'NP_859040.1', 'NC_004911', 'None', 'Pb1', 'None', '1', 758, 'Reference'
611, 'NP_859041.1', 'NC_004912', 'None', 'Pa', 'None', '1', 716, 'Reference'
